# Blocks-15.1.0.txt
# Date: 2023-07-28, 15:47:20 GMT
# © 2023 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# For documentation, see https://www.unicode.org/reports/tr44/
#
# Format:
# Start Code..End Code; Block Name

# ================================================

# Note:   When comparing block names, casing, whitespace, hyphens,
#         and underbars are ignored.
#         For example, "Latin Extended-A" and "latin extended a" are equivalent.
#         For more information on the comparison of property values,
#            see UAX #44: https://www.unicode.org/reports/tr44/
#
#  All block ranges start with a value where (cp MOD 16) = 0,
#  and end with a value where (cp MOD 16) = 15. In other words,
#  the last hexadecimal digit of the start of range is ...0
#  and the last hexadecimal digit of the end of range is ...F.
#  This constraint on block ranges guarantees that allocations
#  are done in terms of whole columns, and that code chart display
#  never involves splitting columns in the charts.
#
#  All code points not explicitly listed for Block
#  have the value No_Block.

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

0000..007F; Basic Latin | 基本拉丁文
0080..00FF; Latin-1 Supplement | 拉丁文-1补充
0100..017F; Latin Extended-A | 拉丁文扩展-A
0180..024F; Latin Extended-B | 拉丁文扩展-B
0250..02AF; IPA Extensions | 国际音标扩展
02B0..02FF; Spacing Modifier Letters | 间隔修饰字母
0300..036F; Combining Diacritical Marks | 组合变音标记
0370..03FF; Greek and Coptic | 希腊文和科普特文
0400..04FF; Cyrillic | 西里尔文
0500..052F; Cyrillic Supplement | 西里尔文补充
0530..058F; Armenian | 亚美尼亚文
0590..05FF; Hebrew | 希伯来文
0600..06FF; Arabic | 阿拉伯文
0700..074F; Syriac | 叙利亚文
0750..077F; Arabic Supplement | 阿拉伯文补充
0780..07BF; Thaana | 它拿文
07C0..07FF; NKo | 恩科文
0800..083F; Samaritan | 撒玛利亚文
0840..085F; Mandaic | 曼底安文
0860..086F; Syriac Supplement | 叙利亚文补充
0870..089F; Arabic Extended-B | 阿拉伯文扩展-B
08A0..08FF; Arabic Extended-A | 阿拉伯文扩展-A
0900..097F; Devanagari | 天城文
0980..09FF; Bengali | 孟加拉文
0A00..0A7F; Gurmukhi | 古木基文
0A80..0AFF; Gujarati | 古吉拉特文
0B00..0B7F; Oriya | 奥里亚文
0B80..0BFF; Tamil | 泰米尔文
0C00..0C7F; Telugu | 泰卢固文
0C80..0CFF; Kannada | 卡纳达文
0D00..0D7F; Malayalam | 马拉雅拉姆文
0D80..0DFF; Sinhala | 僧伽罗文
0E00..0E7F; Thai | 泰文
0E80..0EFF; Lao | 老挝文
0F00..0FFF; Tibetan | 藏文
1000..109F; Myanmar | 缅甸文
10A0..10FF; Georgian | 格鲁吉亚文
1100..11FF; Hangul Jamo | 韩文字母
1200..137F; Ethiopic | 埃塞俄比亚文
1380..139F; Ethiopic Supplement | 埃塞俄比亚文补充
13A0..13FF; Cherokee | 切罗基文
1400..167F; Unified Canadian Aboriginal Syllabics | 加拿大原住民统一音节文字
1680..169F; Ogham | 奥格姆文
16A0..16FF; Runic | 古北欧文
1700..171F; Tagalog | 他加禄文
1720..173F; Hanunoo | 哈努诺文
1740..175F; Buhid | 布希德文
1760..177F; Tagbanwa | 塔格巴努亚文
1780..17FF; Khmer | 高棉文
1800..18AF; Mongolian | 蒙古文
18B0..18FF; Unified Canadian Aboriginal Syllabics Extended | 加拿大原住民统一音节文字扩展
1900..194F; Limbu | 伦布文
1950..197F; Tai Le | 傣仂文
1980..19DF; New Tai Lue | 新傣仂文
19E0..19FF; Khmer Symbols | 高棉符号
1A00..1A1F; Buginese | 布吉文
1A20..1AAF; Tai Tham | 傣探文
1AB0..1AFF; Combining Diacritical Marks Extended | 组合变音标记扩展
1B00..1B7F; Balinese | 巴厘文
1B80..1BBF; Sundanese | 巽他文
1BC0..1BFF; Batak | 巴塔克文
1C00..1C4F; Lepcha | 勒布查文
1C50..1C7F; Ol Chiki | 桑塔利文
1C80..1C8F; Cyrillic Extended-C | 西里尔文扩展-C
1C90..1CBF; Georgian Extended | 格鲁吉亚文扩展
